title,,,,,,,,,,,,,,,,,publish_time
Analysis of interactions between SNARE proteins using imaging ellipsometer coupled with microfluidic array,,,,,,,,,,,,,,,,,6/18/2014
Hemophagocytic lymphohistiocytosis: review of etiologies and management,,,,,,,,,,,,,,,,,6/12/2014
A Compact Immunoassay Platform Based on a Multicapillary Glass Plate,,,,,,,,,,,,,,,,,5/23/2014
"Viral Etiologies of Hospitalized Acute Lower Respiratory Infection Patients in China, 2009-2013",,,,,,,,,,,,,,,,,6/19/2014
Associations between Single Nucleotide Polymorphisms in Cellular Viral Receptors and Attachment Factor-Related Genes and Humoral Immunity to Rubella Vaccination,,,,,,,,,,,,,,,,,6/19/2014
Streptococcus suis infection: An emerging/reemerging challenge of bacterial infectious diseases?,,,,,,,,,,,,,,,,,5/15/2014
Public perceptions of non-pharmaceutical interventions for reducing transmission of respiratory infection: systematic review and synthesis of qualitative studies,,,,,,,,,,,,,,,,,6/11/2014
A fast and robust iterative algorithm for prediction of RNA pseudoknotted secondary structures,,,,,,,,,,,,,,,,,5/18/2014
Molecular Epidemiology of Paramyxoviruses in Frugivorous Eidolon helvum Bats in Zambia,,,,,,,,,,,,,,,,,12/31/2013
"Molecular epidemiology of Porcine torovirus (PToV) in Sichuan Province, China: 2011–2013",,,,,,,,,,,,,,,,,6/5/2014
"Characterization of the Ectodomain of the Envelope Protein of Dengue Virus Type 4: Expression, Membrane Association, Secretion and Particle Formation in the Absence of Precursor Membrane Protein",,,,,,,,,,,,,,,,,6/20/2014
Maternal immunity enhances Mycoplasma hyopneumoniae vaccination induced cell-mediated immune responses in piglets,,,,,,,,,,,,,,,,,6/5/2014
Analysis of tetra- and hepta-nucleotides motifs promoting -1 ribosomal frameshifting in Escherichia coli,,,,,,,,,,,,,,,,,7/1/2014
Accuracy of epidemiological inferences based on publicly available information: retrospective comparative analysis of line lists of human cases infected with influenza A(H7N9) in China,,,,,,,,,,,,,,,,,5/28/2014
Macrophage activation state determines the response to rhinovirus infection in a mouse model of allergic asthma,,,,,,,,,,,,,,,,,6/7/2014
Inducing Dose Sparing with Inactivated Polio Virus Formulated in Adjuvant CAF01,,,,,,,,,,,,,,,,,6/23/2014
"Results From the First Six Years of National Sentinel Surveillance for Influenza in Kenya, July 2007–June 2013",,,,,,,,,,,,,,,,,6/23/2014
From gene to protein—experimental and clinical studies of ACE2 in blood pressure control and arterial hypertension,,,,,,,,,,,,,,,,,6/24/2014
No Evidence of Viral Transmission following Long-Term Implantation of Agarose Encapsulated Porcine Islets in Diabetic Dogs,,,,,,,,,,,,,,,,,6/5/2014
Standards for Sequencing Viral Genomes in the Era of High-Throughput Sequencing,,,,,,,,,,,,,,,,,6/17/2014
Unanswered questions about the Middle East respiratory syndrome coronavirus (MERS-CoV),,,,,,,,,,,,,,,,,6/11/2014
Bat Distribution Size or Shape as Determinant of Viral Richness in African Bats,,,,,,,,,,,,,,,,,6/24/2014
Plasmodium vivax Antigen Discovery Based on Alpha-Helical Coiled Coil Protein Motif,,,,,,,,,,,,,,,,,6/24/2014
Epidemiology and Viral Etiology of the Influenza-Like Illness in Corsica during the 2012–2013 Winter: An Analysis of Several Sentinel Surveillance Systems,,,,,,,,,,,,,,,,,6/24/2014
"Yu Ping Feng San, an Ancient Chinese Herbal Decoction, Regulates the Expression of Inducible Nitric Oxide Synthase and Cyclooxygenase-2 and the Activity of Intestinal Alkaline Phosphatase in Cultures",,,,,,,,,,,,,,,,,6/26/2014
A Nucleic-Acid Hydrolyzing Single Chain Antibody Confers Resistance to DNA Virus Infection in HeLa Cells and C57BL/6 Mice,,,,,,,,,,,,,,,,,6/26/2014
Proof by synthesis of Tobacco mosaic virus,,,,,,,,,,,,,,,,,4/30/2014
A Multi-Method Approach to Curriculum Development for In-Service Training in China’s Newly Established Health Emergency Response Offices,,,,,,,,,,,,,,,,,6/27/2014
Discovery of Novel GPVI Receptor Antagonists by Structure-Based Repurposing,,,,,,,,,,,,,,,,,6/27/2014
Alphavirus-Based Vaccines,,,,,,,,,,,,,,,,,6/16/2014
Influenza and Other Respiratory Viruses Involved in Severe Acute Respiratory Disease in Northern Italy during the Pandemic and Postpandemic Period (2009–2011),,,,,,,,,,,,,,,,,6/12/2014
The role of CXCL10 in the pathogenesis of experimental septic shock,,,,,,,,,,,,,,,,,6/2/2014
"Pandemic clinical case definitions are non-specific: multiple respiratory viruses circulating in the early phases of the 2009 influenza pandemic in New South Wales, Australia",,,,,,,,,,,,,,,,,6/18/2014
Comparison and Analysis of Biological Agent Category Lists Based On Biosafety and Biodefense,,,,,,,,,,,,,,,,,6/30/2014
HIV-1 and Its gp120 Inhibits the Influenza A(H1N1)pdm09 Life Cycle in an IFITM3-Dependent Fashion,,,,,,,,,,,,,,,,,6/30/2014
Differences in the tissue tropism to chicken oviduct epithelial cells between avian coronavirus IBV strains QX and B1648 are not related to the sialic acid binding properties of their spike proteins,,,,,,,,,,,,,,,,,6/14/2014
How to Reduce the Latent Social Risk of Disease: The Determinants of Vaccination against Rabies in Taiwan,,,,,,,,,,,,,,,,,6/4/2014
A Comprehensive Phylogenetic and Structural Analysis of the Carcinoembryonic Antigen (CEA) Gene Family,,,,,,,,,,,,,,,,,5/23/2014
Histopathology of Pneumocystis carinii pneumonia in immunocompetent laboratory rats,,,,,,,,,,,,,,,,,5/26/2014
"Prevalence and Genetic Diversity Analysis of Human Coronavirus OC43 among Adult Patients with Acute Respiratory Infections in Beijing, 2012",,,,,,,,,,,,,,,,,7/2/2014
"After Malaria Is Controlled, What's Next?†",,,,,,,,,,,,,,,,,7/2/2014
ERAD and how viruses exploit it,,,,,,,,,,,,,,,,,7/3/2014
Advances in Diagnosis of Respiratory Diseases of Small Ruminants,,,,,,,,,,,,,,,,,6/15/2014
Immunogenicity and efficacy of a plasmid DNA rabies vaccine incorporating Myd88 as a genetic adjuvant,,,,,,,,,,,,,,,,,6/20/2014
Metagenomic analysis of a sample from a patient with respiratory tract infection reveals the presence of a γ-papillomavirus,,,,,,,,,,,,,,,,,7/8/2014
Back to basics: hand hygiene and isolation,,,,,,,,,,,,,,,,,7/2/2014
Outcomes of Influenza A(H1N1)pdm09 Virus Infection: Results from Two International Cohort Studies,,,,,,,,,,,,,,,,,7/8/2014
Production and immunogenicity of chimeric virus-like particles containing the spike glycoprotein of infectious bronchitis virus,,,,,,,,,,,,,,,,,6/16/2014
Pandemic preparedness: perceptions of vulnerable migrants in Thailand towards WHO-recommended non-pharmaceutical interventions: a cross-sectional study,,,,,,,,,,,,,,,,,6/28/2014
Epidemic Surveillance Using an Electronic Medical Record: An Empiric Approach to Performance Improvement,,,,,,,,,,,,,,,,,7/9/2014
On the Use of Human Mobility Proxies for Modeling Epidemics,,,,,,,,,,,,,,,,,7/10/2014
The Ubiquitin-Conjugating System: Multiple Roles in Viral Replication and Infection,,,,,,,,,,,,,,,,,5/6/2014
Construction of fat1 Gene Expression Vector and Its Catalysis Efficiency in Bovine Fetal Fibroblast Cells,,,,,,,,,,,,,,,,,5/1/2012
Selection of Reference Genes for Gene Expression Studies in Porcine Whole Blood and Peripheral Blood Mononuclear Cells under Polyinosinic:Polycytidylic Acid Stimulation,,,,,,,,,,,,,,,,,4/10/2014
Medical relevance of UK-funded non-human primate research published from January 1997 to July 2012,,,,,,,,,,,,,,,,,7/10/2014
CXCR3 modulates glial accumulation and activation in cuprizone-induced demyelination of the central nervous system,,,,,,,,,,,,,,,,,6/16/2014
The use of the temporal scan statistic to detect methicillin-resistant Staphylococcus aureus clusters in a community hospital,,,,,,,,,,,,,,,,,7/8/2014
Substitution at Aspartic Acid 1128 in the SARS Coronavirus Spike Glycoprotein Mediates Escape from a S2 Domain-Targeting Neutralizing Monoclonal Antibody,,,,,,,,,,,,,,,,,7/14/2014
Viral Metagenomics on Animals as a Tool for the Detection of Zoonoses Prior to Human Infection?,,,,,,,,,,,,,,,,,6/10/2014
Multiplex Evaluation of Influenza Neutralizing Antibodies with Potential Applicability to In-Field Serological Studies,,,,,,,,,,,,,,,,,7/3/2014
Antagonizing Interferon-Mediated Immune Response by Porcine Reproductive and Respiratory Syndrome Virus,,,,,,,,,,,,,,,,,7/3/2014
"Fever Screening and Detection of Febrile Arrivals at an International Airport in Korea: Association among Self-reported Fever, Infrared Thermal Camera Scanning, and Tympanic Temperature",,,,,,,,,,,,,,,,,5/30/2014
Quantifying the risk of respiratory infection in healthcare workers performing high-risk procedures,,,,,,,,,,,,,,,,,12/5/2013
Validation of three geolocation strategies for health-facility attendees for research and public health surveillance in a rural setting in western Kenya,,,,,,,,,,,,,,,,,5/1/2014
Synergistic Up-Regulation of CXCL10 by Virus and IFN γ in Human Airway Epithelial Cells,,,,,,,,,,,,,,,,,7/17/2014
Excessive production and extreme editing of human metapneumovirus defective interfering RNA is associated with type I IFN induction,,,,,,,,,,,,,,,,,8/10/2014
Dynamically-Driven Enhancement of the Catalytic Machinery of the SARS 3C-Like Protease by the S284-T285-I286/A Mutations on the Extra Domain,,,,,,,,,,,,,,,,,7/18/2014
Building core capacities at the designated points of entry according to the International Health Regulations 2005: a review of the progress and prospects in Taiwan,,,,,,,,,,,,,,,,,7/17/2014
"Viral etiology and seasonality of influenza-like illness in Gabon, March 2010 to June 2011",,,,,,,,,,,,,,,,,7/7/2014
Q fever in the Netherlands: public perceptions and behavioral responses in three different epidemiological regions: a follow-up study,,,,,,,,,,,,,,,,,3/20/2014
Recent advances in live cell imaging of hepatoma cells,,,,,,,,,,,,,,,,,7/8/2014
"SELDI-TOF-MS Proteomic Profiling of Serum, Urine, and Amniotic Fluid in Neural Tube Defects",,,,,,,,,,,,,,,,,7/23/2014
A Novel MVA Vectored Chikungunya Virus Vaccine Elicits Protective Immunity in Mice,,,,,,,,,,,,,,,,,7/24/2014
Using Informatics and the Electronic Medical Record to Describe Antimicrobial Use in the Clinical Management of Diarrhea Cases at 12 Companion Animal Practices,,,,,,,,,,,,,,,,,7/24/2014
Risk factors and epidemiological characteristics of new neonatal porcine diarrhoea syndrome in four Danish herds,,,,,,,,,,,,,,,,,7/10/2014
Draft Genome Sequence of the Bordetella bronchiseptica Swine Isolate KM22,,,,,,,,,,,,,,,,,7/10/2014
Association between the level of antibodies in bulk tank milk and bovine respiratory syncytial virus exposure in the herd,,,,,,,,,,,,,,,,,7/12/2014
A single vertebrate DNA virus protein disarms invertebrate immunity to RNA virus infection,,,,,,,,,,,,,,,,,6/25/2014
Kawasaki disease patients homozygous for the rs12252-C variant of interferon-induced transmembrane protein-3 are significantly more likely to develop coronary artery lesions,,,,,,,,,,,,,,,,,5/14/2014
Recombinant Scorpine Produced Using SUMO Fusion Partner in Escherichia coli Has the Activities against Clinically Isolated Bacteria and Inhibits the Plasmodium falciparum Parasitemia In Vitro,,,,,,,,,,,,,,,,,7/28/2014
RNA Virus Reverse Genetics and Vaccine Design,,,,,,,,,,,,,,,,,6/25/2014
Modified Vaccinia Virus Ankara (MVA) as Production Platform for Vaccines against Influenza and Other Viral Respiratory Diseases,,,,,,,,,,,,,,,,,7/17/2014
Membranous Replication Factories Induced by Plus-Strand RNA Viruses,,,,,,,,,,,,,,,,,7/22/2014
Human Coronaviruses Associated with Upper Respiratory Tract Infections in Three Rural Areas of Ghana,,,,,,,,,,,,,,,,,7/31/2014
Evaluation of the Temporal Association between Kawasaki Disease and Viral Infections in South Korea,,,,,,,,,,,,,,,,,7/25/2014
Inflammatory response in mixed viral-bacterial community-acquired pneumonia,,,,,,,,,,,,,,,,,7/29/2014
Establishment and Clinical Applications of a Portable System for Capturing Influenza Viruses Released through Coughing,,,,,,,,,,,,,,,,,8/1/2014
Simultaneous Detection and Differentiation of Highly Virulent and Classical Chinese-Type Isolation of PRRSV by Real-Time RT-PCR,,,,,,,,,,,,,,,,,6/12/2014
"Using exercises to improve public health preparedness in Asia, the Middle East and Africa",,,,,,,,,,,,,,,,,7/27/2014
Detection of the Middle East Respiratory Syndrome Coronavirus Genome in an Air Sample Originating from a Camel Barn Owned by an Infected Patient,,,,,,,,,,,,,,,,,7/22/2014
Switch from Cap- to Factorless IRES-Dependent 0 and +1 Frame Translation during Cellular Stress and Dicistrovirus Infection,,,,,,,,,,,,,,,,,8/4/2014
Involvement of the ERK pathway in the protective effects of glycyrrhizic acid against the MPP(+)-induced apoptosis of dopaminergic neuronal cells,,,,,,,,,,,,,,,,,7/2/2014
"ER stress, autophagy, and RNA viruses",,,,,,,,,,,,,,,,,8/5/2014
"IRF7 in the Australian Black Flying Fox, Pteropus alecto: Evidence for a Unique Expression Pattern and Functional Conservation",,,,,,,,,,,,,,,,,8/6/2014
ELM: enhanced lowest common ancestor based method for detecting a pathogenic virus from a large sequence dataset,,,,,,,,,,,,,,,,,7/28/2014
Update in Pathogenesis and Prospective in Treatment of Necrotizing Enterocolitis,,,,,,,,,,,,,,,,,7/17/2014
Virus-Specific Regulatory T Cells Ameliorate Encephalitis by Repressing Effector T Cell Functions from Priming to Effector Stages,,,,,,,,,,,,,,,,,8/7/2014
"Molecular Detection of Adenoviruses, Rhabdoviruses, and Paramyxoviruses in Bats from Kenya",,,,,,,,,,,,,,,,,8/6/2014
Single detection of human bocavirus 1 with a high viral load in severe respiratory tract infections in previously healthy children,,,,,,,,,,,,,,,,,7/30/2014
"Persistent prion infection disturbs the function of Oct-1, resulting in the down-regulation of murine interferon regulatory factor-3",,,,,,,,,,,,,,,,,8/8/2014
Anti-inflammatory effects of Lactococcus lactis NCDO 2118 during the remission period of chemically induced colitis,,,,,,,,,,,,,,,,,7/29/2014
The impact of the interferon-lambda family on the innate and adaptive immune response to viral infections,,,,,,,,,,,,,,,,,7/16/2014
A Membrane Topology Model for Human Interferon Inducible Transmembrane Protein 1,,,,,,,,,,,,,,,,,8/8/2014
Cellular Proteins Associated with the Interior and Exterior of Vesicular Stomatitis Virus Virions,,,,,,,,,,,,,,,,,8/8/2014
The Consequences of a Lab Escape of a Potential Pandemic Pathogen,,,,,,,,,,,,,,,,,8/11/2014
"Coronaviruses Induce Entry-Independent, Continuous Macropinocytosis",,,,,,,,,,,,,,,,,8/5/2014
"Risks and Benefits of Gain-of-Function Experiments with Pathogens of Pandemic Potential, Such as Influenza Virus: a Call for a Science-Based Discussion",,,,,,,,,,,,,,,,,8/1/2014
Herpes simplex virus type 1 and Alzheimer’s disease: increasing evidence for a major role of the virus,,,,,,,,,,,,,,,,,8/11/2014
Chinese patent medicines for the treatment of the common cold: a systematic review of randomized clinical trials,,,,,,,,,,,,,,,,,7/30/2014
Exploring the Innate Immunological Response of an Alternative Nonhuman Primate Model of Infectious Disease; the Common Marmoset,,,,,,,,,,,,,,,,,7/22/2014
The potential contributions of traditional Chinese medicine to emergency medicine,,,,,,,,,,,,,,,,,2013
"Etiology of Severe Childhood Pneumonia in The Gambia, West Africa, Determined by Conventional and Molecular Microbiological Analyses of Lung and Pleural Aspirate Samples",,,,,,,,,,,,,,,,,9/1/2014
Need of surveillance response systems to combat Ebola outbreaks and other emerging infectious diseases in African countries,,,,,,,,,,,,,,,,,8/5/2014
Porcine Epidemic Diarrhea Virus RNA Present in Commercial Spray-Dried Porcine Plasma Is Not Infectious to Naïve Pigs,,,,,,,,,,,,,,,,,8/12/2014
Self-Assembly and Release of Peste des Petits Ruminants Virus-Like Particles in an Insect Cell-Baculovirus System and Their Immunogenicity in Mice and Goats,,,,,,,,,,,,,,,,,8/12/2014
Using core competencies to build an evaluative framework: outcome assessment of the University of Guelph Master of Public Health program,,,,,,,,,,,,,,,,,7/31/2014
Genomic Profiling of Collaborative Cross Founder Mice Infected with Respiratory Viruses Reveals Novel Transcripts and Infection-Related Strain-Specific Gene and Isoform Expression,,,,,,,,,,,,,,,,,6/5/2014
Detection of Middle East respiratory syndrome coronavirus using reverse transcription loop-mediated isothermal amplification (RT-LAMP),,,,,,,,,,,,,,,,,8/8/2014
Complete Genome Sequence of Porcine Epidemic Diarrhea Virus in Vietnam,,,,,,,,,,,,,,,,,8/14/2014
The PDZ-Binding Motif of Severe Acute Respiratory Syndrome Coronavirus Envelope Protein Is a Determinant of Viral Pathogenesis,,,,,,,,,,,,,,,,,8/14/2014
The HIV-1 Envelope Transmembrane Domain Binds TLR2 through a Distinct Dimerization Motif and Inhibits TLR2-Mediated Responses,,,,,,,,,,,,,,,,,8/14/2014
Effect of human movement on airborne disease transmission in an airplane cabin: study using numerical modeling and quantitative risk analysis,,,,,,,,,,,,,,,,,8/6/2014
Immunomodulatory Effects of Kimchi in Chinese Healthy College Students: A Randomized Controlled Trial,,,,,,,,,,,,,,,,,7/29/2014
Multiplex Degenerate Primer Design for Targeted Whole Genome Amplification of Many Viral Genomes,,,,,,,,,,,,,,,,,8/3/2014
Rapid Detection of Mycobacterium tuberculosis by Recombinase Polymerase Amplification,,,,,,,,,,,,,,,,,8/13/2014
A Quantitative Prioritisation of Human and Domestic Animal Pathogens in Europe,,,,,,,,,,,,,,,,,8/19/2014
"Rhinitis, Asthma and Respiratory Infections among Adults in Relation to the Home Environment in Multi-Family Buildings in Sweden",,,,,,,,,,,,,,,,,8/19/2014
A canine model of experimental infection with Leishmania (L.) mexicana,,,,,,,,,,,,,,,,,8/9/2014
"Metagenomic Survey for Viruses in Western Arctic Caribou, Alaska, through Iterative Assembly of Taxonomic Units",,,,,,,,,,,,,,,,,8/20/2014
Middle East respiratory syndrome (MERS): A new zoonotic viral pneumonia,,,,,,,,,,,,,,,,,8/15/2014
Mining Social Media and Web Searches For Disease Detection,,,,,,,,,,,,,,,,,5/31/2013
Serum Diamine Oxidase as a Hemorrhagic Shock Biomarker in a Rabbit Model,,,,,,,,,,,,,,,,,8/21/2014
Early-Life Hepatitis E Infection in Pigs: The Importance of Maternally-Derived Antibodies,,,,,,,,,,,,,,,,,8/21/2014
Infection with MERS-CoV Causes Lethal Pneumonia in the Common Marmoset,,,,,,,,,,,,,,,,,8/21/2014
"Proteomics analysis reveals protein expression differences for hypopharyngeal gland activity in the honeybee, Apis mellifera carnica Pollmann",,,,,,,,,,,,,,,,,8/8/2014
Genetic Variants of CD209 Associated with Kawasaki Disease Susceptibility,,,,,,,,,,,,,,,,,8/22/2014
"Genomic Characterization of a Circovirus Associated with Fatal Hemorrhagic Enteritis in Dog, Italy",,,,,,,,,,,,,,,,,8/22/2014
Current perspectives in transfusion-transmitted infectious diseases: emerging and re-emerging infections,,,,,,,,,,,,,,,,,7/28/2014
ERKs and mitochondria-related pathways are essential for glycyrrhizic acid-mediated neuroprotection against glutamate-induced toxicity in differentiated PC12 cells,,,,,,,,,,,,,,,,,7/25/2014
Influenza Virus A/Anhui/1/2013 (H7N9) Replicates Efficiently in the Upper and Lower Respiratory Tracts of Cynomolgus Macaques,,,,,,,,,,,,,,,,,8/12/2014
Highlights from the 2014 International Symposium on HIV & Emerging Infectious Diseases (ISHEID): from cART management to the end of the HIV pandemic,,,,,,,,,,,,,,,,,8/21/2014
"The Antibody Germline/Maturation Hypothesis, Elicitation of Broadly Neutralizing Antibodies Against HIV-1 and Cord Blood IgM Repertoires",,,,,,,,,,,,,,,,,8/28/2014
Identification of Cis-Acting Elements on Positive-Strand Subgenomic mRNA Required for the Synthesis of Negative-Strand Counterpart in Bovine Coronavirus,,,,,,,,,,,,,,,,,7/30/2014
The Coronavirus Nucleocapsid Is a Multifunctional Protein,,,,,,,,,,,,,,,,,8/7/2014
European Bats as Carriers of Viruses with Zoonotic Potential,,,,,,,,,,,,,,,,,8/13/2014
Canine Enteric Coronaviruses: Emerging Viral Pathogens with Distinct Recombinant Spike Proteins,,,,,,,,,,,,,,,,,8/22/2014
FTY720 (fingolimod) modulates the severity of viral-induced encephalomyelitis and demyelination,,,,,,,,,,,,,,,,,8/20/2014
The pattern of Middle East respiratory syndrome coronavirus in Saudi Arabia: a descriptive epidemiological analysis of data from the Saudi Ministry of Health,,,,,,,,,,,,,,,,,8/20/2014
Design of an epitope-based peptide vaccine against spike protein of human coronavirus: an in silico approach,,,,,,,,,,,,,,,,,8/21/2014
NK Cells in Mucosal Defense against Infection,,,,,,,,,,,,,,,,,8/14/2014
Western Cold and Flu (WeCoF) aerosol study – preliminary results,,,,,,,,,,,,,,,,,8/23/2014
Ethics of Clinical Science in a Public Health Emergency: Drug Discovery at the Bedside,,,,,,,,,,,,,,,,,9/1/2013
Emergence of Pathogenic Coronaviruses in Cats by Homologous Recombination between Feline and Canine Coronaviruses,,,,,,,,,,,,,,,,,9/2/2014
Topology and biological function of enterovirus non-structural protein 2B as a member of the viroporin family,,,,,,,,,,,,,,,,,8/28/2014
Phylogenetic Analysis of Astrovirus and Kobuvirus in Korean Dogs,,,,,,,,,,,,,,,,,5/1/2014
Spherules and IBV,,,,,,,,,,,,,,,,,9/1/2014
The Role of Myeloid Cell Activation and Arginine Metabolism in the Pathogenesis of Virus-Induced Diseases,,,,,,,,,,,,,,,,,9/8/2014
Reply to “Concerns About Misinterpretation of Recent Scientific Data Implicating Dromedary Camels in Epidemiology of Middle East Respiratory Syndrome (MERS)”,,,,,,,,,,,,,,,,,7/8/2014
Concerns about Misinterpretation of Recent Scientific Data Implicating Dromedary Camels in Epidemiology of Middle East Respiratory Syndrome (MERS),,,,,,,,,,,,,,,,,7/8/2014
Heterogeneous pathological outcomes after experimental pH1N1 influenza infection in ferrets correlate with viral replication and host immune responses in the lung,,,,,,,,,,,,,,,,,8/28/2014
Progress and challenges of disaster health management in China: a scoping review,,,,,,,,,,,,,,,,,9/10/2014
Autoreactivity to Glucose Regulated Protein 78 Links Emphysema and Osteoporosis in Smokers,,,,,,,,,,,,,,,,,9/12/2014
"Isolation and characterization of 11 novel microsatellite loci in a West African leaf-nosed bat, Hipposideros aff. ruber",,,,,,,,,,,,,,,,,9/4/2014
Bioassay Directed Isolation and Biological Evaluation of Compounds Isolated from Rubus fairholmianus Gard.,,,,,,,,,,,,,,,,,9/1/2014
Predictors of Mortality in Mechanically Ventilated Critical Pertussis in a low Income Country,,,,,,,,,,,,,,,,,9/1/2014
Autophagic effects of Chaihu (dried roots of Bupleurum Chinense DC or Bupleurum scorzoneraefolium WILD),,,,,,,,,,,,,,,,,9/11/2014
Dendritic Cells from Aged Subjects Display Enhanced Inflammatory Responses to Chlamydophila pneumoniae,,,,,,,,,,,,,,,,,9/1/2014
Seroprevalence of Respiratory Syncytial Virus IgG among Healthy Young Adults in Basic Training for the Republic of Korea Air Force,,,,,,,,,,,,,,,,,9/2/2014
Global health diplomacy: advancing foreign policy and global health interests,,,,,,,,,,,,,,,,,3/21/2013
Removal of a C-terminal serine residue proximal to the inter-chain disulfide bond of a human IgG1 lambda light chain mediates enhanced antibody stability and antibody dependent cell-mediated cytotoxicity,,,,,,,,,,,,,,,,,5/1/2013
A New Approach for Monitoring Ebolavirus in Wild Great Apes,,,,,,,,,,,,,,,,,9/18/2014
Association of Cytokines in Individuals Sensitive and Insensitive to Dust Mites in a Brazilian Population,,,,,,,,,,,,,,,,,9/19/2014
Metagenomic Assay for Identification of Microbial Pathogens in Tumor Tissues,,,,,,,,,,,,,,,,,9/16/2014
"Docetaxel induces moderate ovarian toxicity in mice, primarily affecting granulosa cells of early growing follicles",,,,,,,,,,,,,,,,,7/30/2014
Rapid and sensitive detection of canine distemper virus by one-tube reverse transcription-insulated isothermal polymerase chain reaction,,,,,,,,,,,,,,,,,9/9/2014
"Management of the slowly emerging zoonosis, Hendra virus, by private veterinarians in Queensland, Australia: a qualitative study",,,,,,,,,,,,,,,,,9/17/2014
A novel porcine reproductive and respiratory syndrome virus vector system that stably expresses enhanced green fluorescent protein as a separate transcription unit,,,,,,,,,,,,,,,,,10/31/2013
Photodynamic Antimicrobial Polymers for Infection Control,,,,,,,,,,,,,,,,,9/24/2014
Roles of the antioxidant properties of icariin and its phosphorylated derivative in the protection against duck virus hepatitis,,,,,,,,,,,,,,,,,9/24/2014
Hospital-based influenza morbidity and mortality surveillance system for influenza-like illnesses: a comparison with national influenza surveillance systems,,,,,,,,,,,,,,,,,9/11/2013
Respiratory viral infections and effects of meteorological parameters and air pollution in adults with respiratory symptoms admitted to the emergency room,,,,,,,,,,,,,,,,,8/26/2013
Increased cytokine/chemokines in serum from asthmatic and non-asthmatic patients with viral respiratory infection,,,,,,,,,,,,,,,,,8/21/2013
Reorganization of the Endosomal System in Salmonella-Infected Cells: The Ultrastructure of Salmonella-Induced Tubular Compartments,,,,,,,,,,,,,,,,,9/25/2014
High-Throughput Sequencing and De Novo Assembly of the Isatis indigotica Transcriptome,,,,,,,,,,,,,,,,,9/26/2014
Modulation of Stop Codon Read-Through Efficiency and Its Effect on the Replication of Murine Leukemia Virus,,,,,,,,,,,,,,,,,9/10/2014
The unfolded protein response in virus infections,,,,,,,,,,,,,,,,,9/30/2014
Application of WHO’s guideline for the selection of sentinel sites for hospital-based influenza surveillance in Indonesia,,,,,,,,,,,,,,,,,9/23/2014
An evaluation of a liquid antimicrobial (Sal CURB®) for reducing the risk of porcine epidemic diarrhea virus infection of naïve pigs during consumption of contaminated feed,,,,,,,,,,,,,,,,,9/25/2014
Comparison of Antibodies Hydrolyzing Myelin Basic Protein from the Cerebrospinal Fluid and Serum of Patients with Multiple Sclerosis,,,,,,,,,,,,,,,,,9/29/2014
Procalcitonin guidance for reduction of antibiotic use in patients hospitalized with severe acute exacerbations of asthma: a randomized controlled study with 12-month follow-up,,,,,,,,,,,,,,,,,9/5/2014
Epidemiology of respiratory viral infections in children enrolled in a study of influenza vaccine effectiveness,,,,,,,,,,,,,,,,,1/31/2014
"Epidemiology of human adenovirus and molecular characterization of human adenovirus 55 in China, 2009–2012",,,,,,,,,,,,,,,,,1/28/2014
A systematic review of studies on forecasting the dynamics of influenza outbreaks,,,,,,,,,,,,,,,,,12/23/2013
Impact of 2009 pandemic influenza among Vietnamese children based on a population-based prospective surveillance from 2007 to 2011,,,,,,,,,,,,,,,,,3/7/2014
"A 3-year prospective study of the epidemiology of acute respiratory viral infections in hospitalized children in Shenzhen, China",,,,,,,,,,,,,,,,,5/14/2014
Impact of preceding respiratory viral infections on the clinical severity of patients with pneumococcal pneumonia,,,,,,,,,,,,,,,,,6/24/2014
Heat inactivation of the Middle East respiratory syndrome coronavirus,,,,,,,,,,,,,,,,,6/24/2014
The Impact of “Omic” and Imaging Technologies on Assessing the Host Immune Response to Biodefence Agents,,,,,,,,,,,,,,,,,9/16/2014
Chimeric NP Non Coding Regions between Type A and C Influenza Viruses Reveal Their Role in Translation Regulation,,,,,,,,,,,,,,,,,9/30/2014
Identification of Host-Immune Response Protein Candidates in the Sera of Human Oral Squamous Cell Carcinoma Patients,,,,,,,,,,,,,,,,,10/1/2014
N-glycan Cryptic Antigens as Active Immunological Targets in Prostate Cancer Patients,,,,,,,,,,,,,,,,,4/30/2012
Immune Biomarkers Predictive of Respiratory Viral Infection in Elderly Nursing Home Residents,,,,,,,,,,,,,,,,,10/2/2014
Cyclophilin A Associates with Enterovirus-71 Virus Capsid and Plays an Essential Role in Viral Infection as an Uncoating Regulator,,,,,,,,,,,,,,,,,10/2/2014
Lack of a 5.9 kDa Peptide C-Terminal Fragment of Fibrinogen α Chain Precedes Fibrosis Progression in Patients with Liver Disease,,,,,,,,,,,,,,,,,10/2/2014
Characterization of Uncultivable Bat Influenza Virus Using a Replicative Synthetic Virus,,,,,,,,,,,,,,,,,10/2/2014
Relationship between the GOLD combined COPD assessment staging system and bacterial isolation,,,,,,,,,,,,,,,,,9/27/2014
Nerve growth factor reduces amiloride‐sensitive Na(+) transport in human airway epithelial cells,,,,,,,,,,,,,,,,,7/17/2014
Visualization of a substrate-induced productive conformation of the catalytic triad of the Neisseria meningitidis peptidoglycan O-acetylesterase reveals mechanistic conservation in SGNH esterase family members,,,,,,,,,,,,,,,,,9/27/2014
